date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-04-29,243,22,11.0,47.75,0,0,0.00,0,0,0.00,8,0,0.00,6,1,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4
2017-04-30,440,39,11.3,46.65,0,0,0.00,0,0,0.00,22,0,0.00,134,5,2,0,0,0.00,0,0,0.00,0,0,3,1,1,0,0,0,0,0,1,1,1,0,1,1,0,7
2017-05-01,213,26,8.2,34.92,0,0,0.00,0,0,0.00,10,0,0.00,24,1,0,0,0,0.00,0,0,0.00,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4
2017-05-02,102,18,5.7,29.32,0,0,0.00,0,0,0.00,2,0,0.00,32,3,1,0,0,0.00,0,0,0.00,0,,,1,1,0,0,0,0,0,0,1,1,0,1,1,0,2
2017-05-03,96,19,5.1,27.12,0,0,0.00,0,0,0.00,4,0,0.00,22,1,0,0,0,0.00,0,0,0.00,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-05-04,7,7,0.9,5.05,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2017-05-05,327,29,11.3,49.53,0,0,0.00,0,0,0.00,10,0,0.00,76,3,1,0,0,0.00,0,0,0.00,0,1,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,5
2017-05-06,29,20,1.5,5.64,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07,25,11,2.3,10.74,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,4,1,1,0,0,0,0,0,0,4,4,0,1,1,0,0
2017-05-08,113,20,5.6,28.73,0,0,0.00,0,0,0.00,2,0,0.00,26,4,0,0,0,0.00,0,0,0.00,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-05-09,83,5,16.5,63.96,0,0,0.00,0,0,0.00,4,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,1
2017-05-10,65,6,10.9,54.63,0,0,0.00,0,0,0.00,0,0,0.00,34,2,1,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-05-11,89,16,5.6,23.58,0,0,0.00,0,0,0.00,2,0,0.00,27,1,0,0,0,0.00,0,0,0.00,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-05-12,40,8,5.0,21.38,0,0,0.00,0,0,0.00,2,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-05-13,129,21,6.2,27.51,0,0,0.00,0,0,0.00,10,0,0.00,0,1,0,0,0,0.00,0,0,0.00,0,1,0,2,2,0,0,0,0,0,1,1,1,0,1,1,0,2
